MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
[JPB2009] 187.4488635+7.9904252,12 29 47.7272,+07 59 25.531,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122947.7+075926,12 29 47.7,+07 59 26,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4169901+7.9908588,12 29 40.0776,+07 59 27.092,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122940.1+075927,12 29 40.1,+07 59 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4168880+7.9911160,12 29 40.0531,+07 59 28.018,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122946.6+075932,12 29 46.6,+07 59 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[MKZ2003] OID  749,12 29 47.8,+07 59 34,O,2003ApJ...586..814M,Unknown,2003ApJ...586..814M
CXOMKZ J1229478+075934,12 29 47.8,+07 59 34,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122952.4+075935,12 29 52.4,+07 59 35,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122953.7+075938,12 29 53.7,+07 59 38,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229453+075940,12 29 45.34,+07 59 39.8,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[H2009] NGC 4472  61,12 29 45.34,+07 59 39.8,O,2009ApJ...690..512H,GlCl?,2009ApJ...690..512H
[CHP2004] J122940.9+075943,12 29 40.9,+07 59 43,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122950.1+075944,12 29 50.1,+07 59 44,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4587832+7.9953942,12 29 50.1080,+07 59 43.419,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
CXOMKZ J1229464+075946,12 29 46.4,+07 59 46,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
CXOMKZ J1229490+075946,12 29 49.0,+07 59 46,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122943.5+075947,12 29 43.5,+07 59 47,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229463+075949,12 29 46.3,+07 59 49,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4428366+7.9968289,12 29 46.29,+07 59 48.4,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[JPB2009] 187.4375580+7.9972720,12 29 45.0139,+07 59 50.179,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122945.0+075950,12 29 45.0,+07 59 50,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4332397+7.9975676,12 29 43.9775,+07 59 51.243,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122944.0+075952,12 29 44.0,+07 59 52,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122953.3+075952,12 29 53.3,+07 59 52,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOU J122948.5+075954,12 29 48.5,+07 59 54,X,2008ApJ...689..983H,XB,2008ApJ...689..983H
[CHP2004] J122946.9+075955,12 29 46.924,+07 59 55.28,,2004ApJ...613..238B,XB,2004ApJ...613..238B
CXOMKZ J1229529+075956,12 29 52.9,+07 59 56,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4394848+7.9991188,12 29 45.4764,+07 59 56.828,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
CXOMKZ J1229438+075957,12 29 43.8,+07 59 57,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4325064+7.9990369,12 29 43.81,+07 59 56.4,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[BJF2004] J122946.858+075958.26,12 29 46.858,+07 59 58.26,,2004ApJ...613..238B,X,2004ApJ...613..238B
[JPB2009] 187.4654565+7.9999269,12 29 51.7096,+07 59 59.737,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122951.7+080000,12 29 51.7,+08 00 00,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122944.7+080001,12 29 44.7,+08 00 01,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122951.7+080003,12 29 51.7,+08 00 03,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4208356+8.0008320,12 29 41.0005,+08 00 02.995,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
CXOMKZ J1229410+080003,12 29 41.0,+08 00 03,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[SGT2004] J122942.31+080008.0,12 29 42.33,+08 00 07.8,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
